Day,Hour,Electricity:Facility,Carbon_Intensity,Core_bottom:Zone Mean Air Temperature,Core_mid:Zone Mean Air Temperature,Core_top:Zone Mean Air Temperature,Perimeter_mid_ZN_1:Zone Mean Air Temperature,Perimeter_mid_ZN_2:Zone Mean Air Temperature,Perimeter_mid_ZN_3:Zone Mean Air Temperature,Perimeter_mid_ZN_4:Zone Mean Air Temperature
182,0,18567282.96807844,400.0,27.125587879698227,26.53918397108638,26.682879007564768,26.625772143556492,26.651767804557693,26.73416676180468,26.868339094355445
182,1,18724628.153022878,400.0,27.16666577707711,26.58409589352747,26.699811097605576,26.337557617118,26.363875901753268,26.44470728161388,26.53269117888133
182,2,18724626.93179572,400.0,27.19888905878419,26.615051866333886,26.671676687051203,26.209491129404356,26.21918452026869,26.301128755377956,26.375089410016574
182,3,18724637.52000521,400.0,26.414096794618757,26.63856990321963,26.632597503661348,26.14494770660118,26.154646816560952,26.232832321801446,26.295650706521883
182,4,18568436.736240085,400.0,27.119880653374302,26.660948566744644,26.590887233061846,26.07207072990388,26.079608018874897,26.15476751632132,26.20528506159617
182,5,20136532.565524,400.0,27.221872532547422,26.706031195758587,26.58151720921301,26.07803608727881,26.081016760111993,26.152335331624244,26.192800644765484
182,6,11128653.50005356,400.0,26.627200611581053,26.789956536377755,26.631543811375803,26.294498356650134,26.618001419004383,26.509396538059654,26.400601958758365
182,7,43122793.83105404,400.0,25.187521529832587,24.661662276191073,24.397615660122653,23.89494599321467,24.16646311574108,24.684542558908714,23.19765956716484
182,8,11286360.960240308,400.0,25.675526629568598,25.23355527345856,25.08142791466664,25.259997737995697,26.71206143908114,26.004218925454715,24.857909706592096
182,9,42452954.77512946,400.0,24.276608434549185,24.168133751526568,24.017926087351782,23.857812777053606,25.608451815972618,24.766450151483497,22.976130525387227
182,10,11129408.13161284,300.0,25.188165014818477,24.803859497011253,24.93352032096716,25.364272857609464,27.52422758667705,25.993566200133802,24.852467579739855
182,11,42368024.22913772,300.0,24.184421432258542,24.040577939672232,24.178836418490384,24.21930472817445,25.536382029355394,25.086872498745322,23.166430165679873
182,12,11449563.041965041,300.0,25.126968354436244,24.724997962185636,25.189241016397858,25.844039844394196,26.653419994328306,26.28079772303539,25.069833533143576
182,13,44179247.64776601,300.0,24.765793199130254,24.53184327326707,24.617457660075566,25.35732923359226,25.330380565435902,25.876969683816455,24.475626770176625
182,14,21760843.57426428,300.0,24.599897057546045,24.760960770563283,25.38231610310743,26.13091382668229,26.106347360915763,26.531420588530114,26.419019400646736
182,15,41761086.50714689,550.0,24.423554396996995,24.206854987207258,24.78399206991539,24.70460193571006,24.3034860142925,25.3146962495833,25.410162589484372
182,16,20787540.083791174,550.0,24.154387798160663,24.717299448692426,25.432555604553173,25.51633071153883,25.35192379674459,26.066202656821936,27.455770645414752
182,17,39919353.05881859,550.0,24.322773960579394,24.28417182806026,24.82318391507177,24.41659547589164,23.88541827157575,25.290358562858756,25.449362778986917
182,18,19351210.821737103,550.0,24.03231565061887,24.61302892738303,25.14242052422133,24.974111332756085,24.696480451155796,25.772644143671968,26.17384586857743
182,19,9560546.736240083,550.0,26.26198284067877,25.837118366321427,25.566991996234638,26.06806084605877,26.106009067861784,26.47892907801827,27.00496694154897
182,20,18568436.736240085,550.0,26.87563868189652,26.294658931710234,26.558048115030896,26.385962613107388,26.457753351193563,26.609373726519884,26.887243009476823
182,21,18568436.736240085,400.0,26.964568373046855,26.380773812663445,26.611889361144687,26.437227669817517,26.51479428515509,26.618257861846335,26.82670287970003
182,22,18724630.273590855,400.0,27.021071713142334,26.43940890741203,26.608278656389196,26.473326385371124,26.533904987092534,26.616175191410804,26.798870767730197
182,23,20690541.30492191,400.0,27.092044193935735,26.514202425106905,26.624185191111156,26.56396704345452,26.620589616100222,26.69190219806073,26.85495195164474
183,0,20534349.139241003,400.0,27.19157208772681,26.637473421303238,26.716814246059386,26.72791499651596,26.77309541535362,26.835801724189828,26.989743547526547
183,1,20534349.139241003,400.0,26.436347272803804,26.694056938031864,26.765427723059933,26.734229595027436,26.77296413455131,26.831792139868774,26.970293971483684
183,2,20534349.139241003,400.0,27.159639097487005,26.748773422635114,26.815877127079617,26.827390926388002,26.85581104643133,26.906944606989928,27.03795227558618
183,3,31060100.2852898,400.0,25.029807027810357,26.788406363459433,26.85340740576307,26.676100164657775,26.703065388537436,26.757667710845887,26.86178113958983
183,4,65425029.1841208,400.0,25.14453251479321,25.193993175752023,25.00069795704266,24.591260256351944,23.909426021584252,24.938139072915433,23.901994188043737
183,5,61385788.08177506,400.0,24.741238579174485,24.723090854153448,24.68793020242577,24.002909373264714,23.33264406716616,24.445413069296976,23.33344062950849
183,6,60007518.33091866,400.0,24.018814770848724,23.992547139687197,23.91402276705074,23.406852118710574,22.8024716466317,23.987962525259167,22.652402624120768
183,7,95807813.2500571,400.0,24.000000000470415,23.999999999030017,23.99525553179997,23.721878821787506,23.08854715629245,23.999644160928494,22.92698957855015
183,8,98748040.03394228,400.0,24.0,24.000000000000004,23.999999999985302,23.99999998794227,23.999919323173213,23.99999999999554,23.64329922462181
183,9,101585861.85629338,400.0,24.0,24.0,24.0,23.999999999999986,24.405743573159718,23.999999999999993,23.999595066704764
183,10,105124383.3977956,300.0,24.0,24.0,24.0,24.0,24.042566331871427,23.999999999999996,23.999999999886676
183,11,108332447.37888482,300.0,24.0,24.0,23.999999999999996,24.0,24.528836601874097,24.000000000000004,24.0
183,12,113537475.31619233,300.0,24.0,24.0,24.0,24.0,24.023598281517796,24.0,23.999999999999996
183,13,110472657.6749364,300.0,24.0,24.0,24.0,24.0,24.437507126320206,24.000000000000004,24.0
183,14,112723722.52556962,300.0,24.0,24.0,24.0,23.999999999999993,24.040756611187952,24.0,24.0
183,15,112194689.9407507,550.0,23.999999999999996,23.999999999999996,24.000000000000004,23.999999999999993,24.000000111472314,24.000000000000004,24.000000000000007
183,16,82132095.9241272,550.0,24.000000000000004,24.0,24.000000000000004,24.0,24.00000000000129,24.0,24.0
183,17,62814982.53080578,550.0,24.0,24.0,24.000000000000004,24.0,23.999999999999996,24.0,24.000000000000004
183,18,57422371.07491028,550.0,24.0,23.999999999999996,24.0,23.999999999999996,23.643854767578773,24.000000000000007,24.0
183,19,51413306.868812315,550.0,24.0,24.0,23.989324415941955,23.898322332813198,23.23187865949717,24.0,23.515177206695117
183,20,59249816.28503849,550.0,24.0,23.934576708592722,23.786089620882972,23.587520129138497,22.871502875546554,24.000000000000004,22.964664353395197
183,21,24426664.339586828,400.0,24.914862181637304,24.544236666418705,24.385111066823704,24.559432179304736,24.101072067089326,24.883036057964205,24.205640211689392
183,22,22616016.34974662,400.0,26.79551473957297,26.10351228636932,26.050700689293418,26.395268650129076,26.27942746951305,26.483600443920107,26.422022269563392
183,23,20690542.977461025,400.0,26.985542397325187,26.360673959054044,26.331661604758175,26.591590418851137,26.525174047370967,26.642971132098445,26.654394646227722
184,0,20690542.12944497,400.0,27.012775169324257,26.37850416511889,26.362362566098078,26.60970392608821,26.55191348250268,26.641051240408583,26.67305725658216
184,1,20534349.139241003,400.0,27.067567117254487,26.436044844790587,26.41888392579148,26.640310378262832,26.584597799298137,26.659358786199512,26.698457215841515
184,2,20534349.139241003,400.0,27.116638257916684,26.48728008561782,26.461017856816486,26.58747718710611,26.53082349674895,26.598284903954237,26.635453175679384
184,3,20534349.139241003,400.0,27.162711204633556,26.533977786227528,26.492531240516847,26.673659697678815,26.617468078295357,26.677285345799785,26.71881312561532
184,4,66777118.52465078,400.0,25.246105560276526,25.090952692016767,25.033853285591807,24.546606502204085,23.908319280672615,24.93122961131636,23.84587617673516
184,5,62513766.85407866,400.0,24.477082647552585,24.583418102251937,24.393250747839343,23.762789593364285,23.296751774517027,24.285306995529627,23.258559908126884
184,6,57122086.93285276,400.0,24.016394920920384,23.99740014902243,23.639697699945764,23.30613166071894,22.672672299126063,23.842783813741057,22.482336337269572
184,7,88461537.31208974,400.0,24.000000000374946,23.999999999811617,23.86520459217048,23.329362477911864,22.657083437484935,23.87209922536809,22.473756760046868
184,8,94713070.49921563,400.0,24.000000018963558,23.999999960758007,23.999999929688244,23.999964820208266,23.999227599979164,24.000001099604763,23.393876911660907
184,9,103065237.0291997,400.0,24.000000000000014,23.999999999999993,23.999999999999986,23.99999999996405,24.51267385555238,24.000000000001613,23.92208918452956
184,10,113265301.48781121,300.0,24.000000000000004,23.999999999999996,24.0,24.0,24.050196451194925,24.0,23.999999905035693
184,11,110504361.6868662,300.0,23.999999999999993,24.0,24.000000000000007,23.999999999999996,24.527293335378353,24.000000000000004,23.999999999999957
184,12,115051013.8599817,300.0,24.0,24.0,24.0,24.0,24.044280727109268,24.000000000000004,23.999999999999996
184,13,102613266.60182615,300.0,23.999999973818564,23.99999998784982,23.999999977716854,23.99999993862482,24.004737272144077,23.99999994025122,23.863694849282858
184,14,112735329.56502846,300.0,24.0,24.0,24.0,23.999999999999993,24.036677407639836,23.999999999999993,23.999981684677646
184,15,114915524.53083709,550.0,24.0,24.0,24.0,24.000000000000004,24.000000070928515,24.000000000000007,23.99999999985084
184,16,88591870.9756626,550.0,24.0,24.0,24.0,23.999999999999996,24.000000000000306,24.0,23.999999999999996
184,17,66886376.35010316,550.0,24.000000000000004,23.999999999999996,24.000000000000004,24.0,24.0,24.0,24.0
184,18,58213958.863675654,550.0,24.000000000000004,24.0,24.000000000000004,24.0,23.621665709136625,23.999999999999996,24.0
184,19,51955369.59168375,550.0,24.0,23.981649606645064,23.943283836123623,23.895775128530683,23.218874721712442,24.0,23.4931835770605
184,20,58824875.34669236,550.0,24.000000000000004,23.86874037603061,23.704825018807696,23.53659509656487,22.82010909324697,23.996066878018112,22.910084128954594
184,21,24426994.293752495,400.0,24.90178024457652,24.46967474369345,24.290526853858395,24.46644711375284,24.008953022877094,24.7924927024114,24.105618414074318
184,22,22774039.064577647,400.0,26.76153988855692,26.019680147945905,25.945414560792344,26.30435237294602,26.19246722607724,26.391025866397403,26.325316134341723
184,23,20534349.139241003,400.0,26.949189220040083,26.272891570503788,26.23676718462197,26.509227266292495,26.447990308933324,26.564177859788483,26.567423851711915
